Year,States,Number of death,,,,,,,
2010,New South Wales,405,,,,,,,
2010,Victoria,288,,,,,,,
2010,Queensland,249,,,,,,,
2010,South Australia,118,,,,,,,
2010,Western Australia,193,,,,,,,
2010,Tasmania,31,,,,,,,
2010,Northern Territory,50,,,,,,,
2010,Australian Capital Territory,19,,,,,,,
2010,Australia,1353,,,,,,,
2011,New South Wales,364,,,,,,,
2011,Victoria,287,,,,,,,
2011,Queensland,269,,,,,,,
2011,South Australia,103,,,,,,,
2011,Western Australia,179,,,,,,,
2011,Tasmania,24,,,,,,,
2011,Northern Territory,45,,,,,,,
2011,Australian Capital Territory,6,,,,,,,
2011,Australia,1277,,,,,,,
2012,New South Wales,369,,,,,,,
2012,Victoria,282,,,,,,,
2012,Queensland,280,,,,,,,
2012,South Australia,94,,,,,,,
2012,Western Australia,183,,,,,,,
2012,Tasmania,31,,,,,,,
2012,Northern Territory,49,,,,,,,
2012,Australian Capital Territory,12,,,,,,,
2012,Australia,1300,,,,,,,
2013,New South Wales,333,,,,,,,
2013,Victoria,243,,,,,,,
2013,Queensland,271,,,,,,,
2013,South Australia,98,,,,,,,
2013,Western Australia,162,,,,,,,
2013,Tasmania,36,,,,,,,
2013,Northern Territory,37,,,,,,,
2013,Australian Capital Territory,7,,,,,,,
2013,Australia,1187,,,,,,,
2014,New South Wales,307,,,,,,,
2014,Victoria,248,,,,,,,
2014,Queensland,223,,,,,,,
2014,South Australia,108,,,,,,,
2014,Western Australia,183,,,,,,,
2014,Tasmania,33,,,,,,,
2014,Northern Territory,39,,,,,,,
2014,Australian Capital Territory,10,,,,,,,
2014,Australia,1151,,,,,,,
2015,New South Wales,350,,,,,,,
2015,Victoria,252,,,,,,,
2015,Queensland,243,,,,,,,
2015,South Australia,102,,,,,,,
2015,Western Australia,159,,,,,,,
2015,Tasmania,34,,,,,,,
2015,Northern Territory,49,,,,,,,
2015,Australian Capital Territory,15,,,,,,,
2015,Australia,1204,,,,,,,
2016,New South Wales,380,,,,,,,
2016,Victoria,290,,,,,,,
2016,Queensland,251,,,,,,,
2016,South Australia,86,,,,,,,
2016,Western Australia,193,,,,,,,
2016,Tasmania,37,,,,,,,
2016,Northern Territory,45,,,,,,,
2016,Australian Capital Territory,10,,,,,,,
2016,Australia,1292,,,,,,,
2017,New South Wales,389,,,,,,,
2017,Victoria,259,,,,,,,
2017,Queensland,247,,,,,,,
2017,South Australia,100,,,,,,,
2017,Western Australia,159,,,,,,,
2017,Tasmania,31,,,,,,,
2017,Northern Territory,31,,,,,,,
2017,Australian Capital Territory,5,,,,,,,
2017,Australia,1221,,,,,,,
2018,New South Wales,347,,,,,,,
2018,Victoria,213,,,,,,,
2018,Queensland,245,,,,,,,
2018,South Australia,80,,,,,,,
2018,Western Australia,158,,,,,,,
2018,Tasmania,33,,,,,,,
2018,Northern Territory,50,,,,,,,
2018,Australian Capital Territory,9,,,,,,,
2018,Australia,1135,,,,,,,
2019,New South Wales,355,,,,,,,
2019,Victoria,270,,,,,1.135,,
2019,Queensland,219,,,,,1.195,,
2019,South Australia,114,,,,,,,
2019,Western Australia,163,,,,,,,
2019,Tasmania,32,,,,,,,
2019,Northern Territory,36,,,,,,,
2019,Australian Capital Territory,6,,,,,,,
2019,Australia,1195,,,,,,,
